brand,model,year,source,success
Ford,Taurus,1990,wikipedia,TRUE
Ford,Taurus,1995,wikipedia,TRUE
Ford,Taurus,2000,wikipedia,TRUE
Ford,Taurus,2005,wikipedia,TRUE
Ford,Taurus,2010,wikipedia,TRUE
Ford,Taurus,2015,wikipedia,TRUE
Ford,Taurus,2020,wikipedia,TRUE
Ford,Taurus,2024,wikipedia,TRUE
Ford,Explorer,1990,wikipedia,TRUE
Ford,Explorer,1995,wikipedia,TRUE
Ford,Explorer,2000,wikipedia,TRUE
Ford,Explorer,2005,wikipedia,TRUE
Ford,Explorer,2010,wikipedia,TRUE
Ford,Explorer,2015,wikipedia,TRUE
Ford,Explorer,2020,wikipedia,TRUE
Ford,Explorer,2024,wikipedia,TRUE
Ford,F-150,1990,wikipedia,TRUE
Ford,F-150,1995,wikipedia,TRUE
Ford,F-150,2000,wikipedia,TRUE
Ford,F-150,2005,wikipedia,TRUE
Ford,F-150,2010,wikipedia,TRUE
Ford,F-150,2015,wikipedia,TRUE
Ford,F-150,2020,wikipedia,TRUE
Ford,F-150,2024,wikipedia,TRUE
Toyota,Camry,1990,wikipedia,TRUE
Toyota,Camry,1995,wikipedia,TRUE
Toyota,Camry,2000,wikipedia,TRUE
Toyota,Camry,2005,wikipedia,TRUE
Toyota,Camry,2010,wikipedia,TRUE
Toyota,Camry,2015,wikipedia,TRUE
Toyota,Camry,2020,wikipedia,TRUE
Toyota,Camry,2024,wikipedia,TRUE
Toyota,RAV4,1990,wikipedia,TRUE
Toyota,RAV4,1995,wikipedia,TRUE
Toyota,RAV4,2000,wikipedia,TRUE
Toyota,RAV4,2005,wikipedia,TRUE
Toyota,RAV4,2010,wikipedia,TRUE
Toyota,RAV4,2015,wikipedia,TRUE
Toyota,RAV4,2020,wikipedia,TRUE
Toyota,RAV4,2024,wikipedia,TRUE
Toyota,Tundra,1990,wikipedia,TRUE
Toyota,Tundra,1995,wikipedia,TRUE
Toyota,Tundra,2000,wikipedia,TRUE
Toyota,Tundra,2005,wikipedia,TRUE
Toyota,Tundra,2010,wikipedia,TRUE
Toyota,Tundra,2015,wikipedia,TRUE
Toyota,Tundra,2020,wikipedia,TRUE
Toyota,Tundra,2024,wikipedia,TRUE
Chevrolet,Malibu,1990,wikipedia,TRUE
Chevrolet,Malibu,1995,wikipedia,TRUE
Chevrolet,Malibu,2000,wikipedia,TRUE
Chevrolet,Malibu,2005,wikipedia,TRUE
Chevrolet,Malibu,2010,wikipedia,TRUE
Chevrolet,Malibu,2015,wikipedia,TRUE
Chevrolet,Malibu,2020,wikipedia,TRUE
Chevrolet,Malibu,2024,wikipedia,TRUE
Chevrolet,Equinox,1990,wikipedia,TRUE
Chevrolet,Equinox,1995,wikipedia,TRUE
Chevrolet,Equinox,2000,wikipedia,TRUE
Chevrolet,Equinox,2005,wikipedia,TRUE
Chevrolet,Equinox,2010,wikipedia,TRUE
Chevrolet,Equinox,2015,wikipedia,TRUE
Chevrolet,Equinox,2020,wikipedia,TRUE
Chevrolet,Equinox,2024,wikipedia,TRUE
Chevrolet,Silverado,1990,wikipedia,TRUE
Chevrolet,Silverado,1995,wikipedia,TRUE
Chevrolet,Silverado,2000,wikipedia,TRUE
Chevrolet,Silverado,2005,wikipedia,TRUE
Chevrolet,Silverado,2010,wikipedia,TRUE
Chevrolet,Silverado,2015,wikipedia,TRUE
Chevrolet,Silverado,2020,wikipedia,TRUE
Chevrolet,Silverado,2024,wikipedia,TRUE
